taxon,tvk,start_day,start_month,end_day,end_month,stage
Chlorops troglodytes,NBNSYS0000030005,1,6,31,7,mature
Chlorops varsoviensis,NBNSYS0000030006,1,5,31,7,mature
Chloropsina pulicaria,NBNSYS0100002376,1,6,31,8,mature
Chloropsina varleyi,NBNSYS0100002377,1,6,31,7,mature
Colliniella meijerei,NHMSYS0021007807,1,6,31,8,mature
Conioscinella frontella,NBNSYS0000029877,1,5,30,9,mature
Conioscinella gallarum,NBNSYS0000029878,1,4,31,8,mature
Conioscinella mimula,NBNSYS0000029880,1,5,31,8,mature
Conioscinella sordidella,NBNSYS0000029881,1,5,31,8,mature
Cryptonevra consimilis,NBNSYS0000029963,1,5,30,9,mature
Cryptonevra diadema,NBNSYS0000145332,1,5,30,9,mature
Cryptonevra flavitarsis,NBNSYS0000029964,1,5,30,9,mature
Cryptonevra nigritarsis,NBNSYS0000029965,1,5,31,7,mature
Dicraeus fennicus,NBNSYS0000029886,1,5,30,9,mature
Dicraeus ingratus,NBNSYS0000029887,1,5,30,9,mature
Dicraeus napaeus,NBNSYS0000029888,1,5,31,7,mature
Dicraeus raptus,NBNSYS0000029889,1,6,31,8,mature
Dicraeus scibilis,NBNSYS0000029890,1,6,31,8,mature
Dicraeus styriacus,NBNSYS0000029891,1,5,31,7,mature
Dicraeus tibialis,NBNSYS0000029892,1,5,30,9,mature
Dicraeus vagans,NBNSYS0000029893,1,5,31,8,mature
Diplotoxa messoria,NBNSYS0000029972,1,6,30,9,mature
Elachiptera rufifrons,NBNSYS0000029935,1,6,30,9,mature
Epichlorops puncticollis,NBNSYS0000029982,1,6,31,8,mature
Eribolus gracilior,NBNSYS0000029899,1,5,30,9,mature
Eribolus hungaricus,NBNSYS0000029900,1,5,31,8,mature
Eribolus nanus,NBNSYS0100003061,1,6,30,9,mature
Eribolus slesvicensis,NBNSYS0000029902,1,5,31,8,mature
Eurina lurida,NBNSYS0000029962,1,5,31,7,mature
Eutropha fulvifrons,NBNSYS0000029974,1,4,30,9,mature
Gaurax dubius,NBNSYS0100003242,1,6,31,8,mature
Gaurax fascipes,NBNSYS0100003243,1,5,30,9,mature
Gaurax flavomaculatus,NHMSYS0021007863,1,7,31,7,mature
Hapleginella laevifrons,NBNSYS0100003327,1,5,30,9,mature
Incertella albipalpis,NBNSYS0000029903,1,5,30,9,mature
Incertella antennata,NBNSYS0100003591,1,5,30,9,mature
Incertella kerteszi,NBNSYS0100003592,1,5,31,8,mature
Incertella nigrifrons,NHMSYS0020706108,1,6,31,8,mature
Incertella scotica,NBNSYS0000029907,1,6,31,8,mature
Incertella zuercheri,NBNSYS0100003593,1,5,31,10,mature
Lasiambia baliola,NBNSYS0100003663,1,5,31,8,mature
Lasiambia brevibucca,NBNSYS0100003664,1,5,31,8,mature
Lasiambia palposa,NBNSYS0100003666,1,6,30,9,mature
Lasiochaeta pubescens,NHMSYS0021007894,1,4,31,10,mature
Lipara lucens,NBNSYS0000029841,1,5,31,7,mature
Lipara similis,NBNSYS0000029843,1,5,31,7,mature
Melanum laterale,NBNSYS0000029973,1,6,30,9,mature
Meromyza athletica,NHMSYS0021007942,1,6,31,8,mature
Meromyza bohemica,NBNSYS0000029944,1,6,31,8,mature
Meromyza curvinervis,NBNSYS0000029946,1,7,31,8,mature
Meromyza depressa misident.,NBNSYS0100004003,1,6,31,7,mature
Meromyza femorata,NBNSYS0000029948,1,6,30,9,mature
Meromyza mosquensis,NBNSYS0000029951,1,7,31,8,mature
Meromyza nigriseta,NBNSYS0100004005,1,7,31,8,mature
Meromyza nigriventris,NBNSYS0000029952,1,5,30,9,mature
Meromyza ornata,NBNSYS0100004006,1,6,31,8,mature
Meromyza palposa,NBNSYS0000029954,1,6,31,7,mature
Meromyza pluriseta,NBNSYS0000029955,1,6,31,7,mature
Meromyza pratorum,NBNSYS0000029956,1,5,31,8,mature
Meromyza rufa,NBNSYS0000029957,1,6,30,9,mature
Meromyza saltatrix,NBNSYS0000029958,1,5,31,8,mature
Meromyza sp. nr. depressa,NHMSYS0021122907,1,6,31,7,mature
Meromyza triangulina,NBNSYS0000029960,1,5,31,7,mature
Meromyza zachvatkini,NBNSYS0100004007,1,6,31,8,mature
Microcercis trigonella,NBNSYS0100004049,1,5,30,9,mature
Neohaplegis glabra,NBNSYS0100004200,1,5,31,7,mature
Neohaplegis tarsata,NBNSYS0100004201,1,5,31,8,mature
Oscinella angularis,NBNSYS0000029909,1,4,31,8,mature
Oscinella angustipennis,NBNSYS0000029910,1,6,30,9,mature
Oscinella capreolus,NHMSYS0021007905,1,5,30,9,mature
Oscinella cariciphila,NBNSYS0000029911,1,5,31,7,mature
Oscinella frit,NBNSYS0000029912,1,4,31,10,mature
Oscinella maura,NBNSYS0000029914,1,5,30,9,mature
Oscinella nigerrima,NBNSYS0000029915,1,4,31,10,mature
Oscinella nitidissima,NBNSYS0000029916,1,5,31,10,mature
Oscinella pusilla,NBNSYS0000029918,1,5,30,9,mature
Oscinella trochanterata,NBNSYS0000029919,1,5,31,8,mature
Oscinella vastator,NBNSYS0000029920,1,5,31,8,mature
Oscinella vindicata,NHMSYS0021007923,1,5,30,9,mature
Oscinimorpha albisetosa,NBNSYS0100004355,1,6,31,7,mature
Oscinimorpha arcuata,NBNSYS0100004356,1,6,31,7,mature
Oscinimorpha minutissima,NBNSYS0100004357,1,5,31,8,mature
Oscinimorpha sordidissima,NBNSYS0100004358,1,6,31,8,mature
Oscinisoma germanicum,NBNSYS0100004360,1,4,31,10,mature
Platycephala planifrons,NBNSYS0000029942,1,6,30,9,mature
Platycephala umbraculata,NBNSYS0000029943,1,6,31,8,mature
Polyodaspis sulcicollis,NBNSYS0000029851,1,8,31,8,mature
Pseudopachychaeta approximatonervis,NBNSYS0000029968,1,6,31,8,mature
Pseudopachychaeta oscinina,NHMSYS0021007932,1,6,31,7,mature
Pseudopachychaeta ruficeps,NBNSYS0000029971,1,4,31,8,mature
Rhopalopterum anthracinum,NBNSYS0100005136,1,5,30,9,mature
Rhopalopterum atricilla,NBNSYS0000029922,1,5,31,7,mature
Rhopalopterum atricorne,NBNSYS0100005137,1,6,31,8,mature
Rhopalopterum fasciola,NBNSYS0000029926,1,6,30,9,mature
Rhopalopterum femorale,NBNSYS0100005140,1,5,31,8,mature
Siphonella oscinina,NBNSYS0000029849,1,5,30,9,mature
Siphunculina aenea,NBNSYS0000029860,1,4,30,9,mature
Speccafrons halophila,NBNSYS0000029879,1,5,30,9,mature
Thaumatomyia glabra,NBNSYS0100005790,1,5,31,10,mature
Thaumatomyia hallandica,NBNSYS0000030009,1,5,30,9,mature
Thaumatomyia rufa,NBNSYS0000030011,1,4,31,8,mature
Thaumatomyia trifasciata,NBNSYS0000030012,1,5,30,9,mature
Trachysiphonella pygmaea,NBNSYS0000029858,1,6,31,7,mature
Trachysiphonella ruficeps,NBNSYS0000029859,1,6,31,7,mature
Trachysiphonella scutellata,NBNSYS0000029857,1,6,31,8,mature
Tricimba cincta,NBNSYS0000029883,1,5,31,10,mature
Tricimba humeralis,NBNSYS0100005892,1,5,31,7,mature
Tricimba lineella,NBNSYS0000029885,1,2,31,10,mature
