taxon,tvk,start_day,start_month,start_year,end_day,end_month,end_year
Agonopterix bipunctosa,NHMSYS0000501049,1,1,1700,,,
Agonopterix capreolella,NHMSYS0000501050,1,1,1700,,,
Agonopterix carduella,NHMSYS0021142585,1,1,1700,,,
Agonopterix ciliella,NHMSYS0000501052,1,1,1700,,,
Agonopterix cnicella,NHMSYS0000501053,1,1,1700,,,
Agonopterix conterminella,NHMSYS0000501054,1,1,1700,,,
Agonopterix curvipunctosa,NHMSYS0000501055,1,1,1700,,,
Agonopterix heracliana,NHMSYS0000501056,1,1,1700,,,
Agonopterix kaekeritziana,NBNSYS0100001428,1,1,1700,,,
Agonopterix kuznetzovi,NHMSYS0000501058,1,1,1700,,,
Agonopterix liturosa,NHMSYS0000501061,1,1,1700,,,
Agonopterix nanatella,NHMSYS0000501062,1,1,1700,,,
Agonopterix nervosa,NHMSYS0000501063,1,1,1700,,,
Agonopterix ocellana,NHMSYS0000501064,1,1,1700,,,
Agonopterix pallorella,NHMSYS0000501065,1,1,1700,,,
Agonopterix propinquella,NHMSYS0000501066,1,1,1700,,,
Agonopterix purpurea,NHMSYS0000501069,1,1,1700,,,
Agonopterix putridella,NHMSYS0021142591,1,1,1700,,,
Agonopterix rotundella,NHMSYS0000501071,1,1,1700,,,
Agonopterix scopariella,NHMSYS0000501072,1,1,1700,,,
Agonopterix subpropinquella,NHMSYS0000501073,1,1,1700,,,
Agonopterix umbellana,NBNSYS0100001430,1,1,1700,,,
Agonopterix yeatiana,NHMSYS0000501075,1,1,1700,,,
Agriopis aurantiaria,NHMSYS0021144222,1,1,1700,,,
Agriopis leucophaearia,NHMSYS0021144221,1,1,1700,,,
Agriopis marginaria,NHMSYS0021144223,1,1,1700,,,
Agriphila geniculea,NHMSYS0000501081,1,1,1700,,,
Agriphila inquinatella,NHMSYS0021143764,1,1,1700,,,
Agriphila latistria,NBNSYS0000026831,1,1,1700,,,
Agriphila poliellus,NHMSYS0000501083,1,1,1700,,,
Agriphila selasella,NHMSYS0021143765,1,1,1700,,,
Agriphila straminella,NHMSYS0021143766,1,1,1700,,,
Agriphila tristella,NHMSYS0021143763,1,1,1700,,,
Agrius convolvuli,NBNSYS0000006063,1,1,1700,,,
Agrochola circellaris,NBNSYS0000006357,1,1,1700,,,
Agrochola haematidea,NHMSYS0000501172,10,10,1990,,,
Agrochola helvola,NBNSYS0000006360,1,1,1700,,,
Agrochola litura,NBNSYS0000006361,1,1,1700,,,
Agrochola lota,NBNSYS0000006358,1,1,1700,,,
Agrochola lychnidis,NHMSYS0021144710,1,1,1700,,,
Agrochola macilenta,NHMSYS0021144714,1,1,1700,,,
Agrotera nemoralis,NBNSYS0000026942,1,1,1700,,,
Agrotis bigramma,NHMSYS0021144890,1,1,1874,,,
Agrotis catalaunensis,NHMSYS0021144902,10,9,2002,,,
Agrotis cinerea,NHMSYS0021144892,1,1,1700,,,
Agrotis clavis,NBNSYS0000006174,1,1,1700,,,
Agrotis exclamationis,NBNSYS0000006175,1,1,1700,,,
Agrotis graslini,NHMSYS0021144893,1,8,2001,,,
Agrotis herzogi,NBNSYS0100001446,22,11,1995,,,
Agrotis ipsilon,NBNSYS0000006177,1,1,1700,,,
Agrotis puta,NBNSYS0000006178,1,1,1700,,,
Agrotis puta insula,NHMSYS0021144901,1,1,1700,,,
Agrotis puta puta,NHMSYS0021144900,1,1,1700,,,
Agrotis ripae,NHMSYS0021144897,1,1,1700,,,
Agrotis segetum,NHMSYS0021144895,1,1,1700,,,
Agrotis trux,NHMSYS0000516938,1,1,1700,,,
Agrotis trux lunigera,NHMSYS0021144899,1,1,1700,,,
Agrotis trux trux,NHMSYS0021144898,1,1,1700,,,
Agrotis vestigialis,NBNSYS0000006171,1,1,1700,,,
Alabonia geoffrella,NHMSYS0000501187,1,1,1700,,,
Alcis jubata,NBNSYS0000006034,1,1,1700,,,
Alcis repandata,NBNSYS0000006033,1,1,1700,,,
Alcis repandata muraria,NHMSYS0021144242,1,1,1700,,,
Alcis repandata repandata,NHMSYS0021144241,1,1,1700,,,
Alcis repandata sodorensium,NHMSYS0021144243,1,1,1700,,,
Aleimma loeflingiana,NHMSYS0000501191,1,1,1700,,,
Aleucis distinctata,NHMSYS0021144272,1,1,1700,,,
Allophyes oxyacanthae,NBNSYS0000006338,1,1,1700,,,
Alsophila aescularia,NHMSYS0021144210,1,1,1700,,,
Altenia scriptella,NBNSYS0100001488,1,1,1700,,,
Alucita hexadactyla,NHMSYS0000501204,1,1,1700,,,
Amblyptilia acanthadactyla,NHMSYS0021142903,1,1,1700,,,
Amblyptilia punctidactyla,NHMSYS0000501211,1,1,1700,,,
Amphipoea crinanensis,NBNSYS0000006464,1,1,1700,,,
Amphipoea fucosa,NHMSYS0000516998,1,1,1700,,,
Amphipoea fucosa fucosa,NHMSYS0021144617,1,1,1700,,,
Amphipoea fucosa paludis,NHMSYS0021144618,1,1,1700,,,
Amphipoea lucens,NBNSYS0000006462,1,1,1700,,,
Amphipoea oculea,NBNSYS0000006465,1,1,1700,,,
Amphipyra berbera,NHMSYS0000517008,1,1,1700,,,
Amphipyra berbera berbera,NHMSYS0021144528,1,1,1700,,,
Amphipyra berbera svenssoni,NHMSYS0021144529,1,1,1700,,,
Amphipyra pyramidea,NBNSYS0000006392,1,1,1700,,,
Amphipyra tragopoginis,NBNSYS0000006395,1,1,1700,,,
Amphisbatis incongruella,NHMSYS0000501221,1,1,1700,,,
Anacampsis blattariella,NHMSYS0000501224,1,1,1700,,,
Anacampsis populella,NHMSYS0000501225,1,1,1700,,,
Anacampsis temerella,NHMSYS0000501227,1,1,1700,,,
Anania coronata,NHMSYS0021126866,1,1,1700,,,
Anania crocealis,NHMSYS0021127817,1,1,1700,,,
Anania funebris,NHMSYS0000501229,1,1,1700,,,
Anania fuscalis,NHMSYS0021127787,1,1,1700,,,
Anania hortulata,NHMSYS0021127771,1,1,1700,,,
Anania lancealis,NHMSYS0021127793,1,1,1700,,,
Anania perlucidalis,NHMSYS0021127805,1,1,1700,,,
Anania stachydalis,NHMSYS0021127799,1,1,1700,,,
Anania terrealis,NHMSYS0021127811,1,1,1700,,,
Anania verbascalis,NHMSYS0021143716,1,1,1700,,,
Anaplectoides prasina,NHMSYS0021144932,1,1,1700,,,
Anarsia innoxiella,NHMSYS0021168793,2,8,1991,,,
Anarsia lineatella,NHMSYS0000501234,1,7,2003,,,
Anarsia spartiella,NHMSYS0000501235,1,1,1700,,,
Anarta melanopa,NBNSYS0000006235,1,1,1700,,,
Anarta myrtilli,NBNSYS0000006233,1,1,1700,,,
Anarta trifolii,NHMSYS0021144804,1,1,1700,,,
Anatrachyntis badia,NHMSYS0001703645,1,1,1700,,,
Ancylis achatana,NHMSYS0021143237,1,1,1700,,,
Ancylis apicella,NHMSYS0021143232,1,1,1700,,,
Ancylis badiana,NHMSYS0021143235,1,1,1700,,,
Ancylis comptana,NHMSYS0000501095,1,1,1700,,,
Ancylis diminutana,NHMSYS0000501096,1,1,1700,,,
Ancylis geminana,NHMSYS0000501097,1,1,1700,,,
Ancylis laetana,NHMSYS0000501099,1,1,1700,,,
Ancylis mitterbacheriana,NHMSYS0021143238,1,1,1700,,,
Ancylis myrtillana,NHMSYS0000501101,1,1,1700,,,
Ancylis obtusana,NHMSYS0000501102,1,1,1700,,,
Ancylis paludana,NHMSYS0021143234,1,1,1700,,,
Ancylis subarcuana,NHMSYS0000501104,1,1,1700,,,
Ancylis tineana,NHMSYS0021143239,1,1,1700,,,
Ancylis uncella,NHMSYS0021143227,1,1,1700,,,
Ancylis unculana,NHMSYS0000501107,1,1,1700,,,
Ancylis unguicella,NHMSYS0000501108,1,1,1700,,,
Ancylis upupana,NHMSYS0000501236,1,1,1700,,,
Ancylodes pallens,MM0001Z1GTI8C1MY,1,1,1700,,,
Ancylolomia tentaculella,NHMSYS0000501240,1,1,1700,,,
Ancylosis cinnamomella,NHMSYS0001703758,1,1,1700,,,
Ancylosis oblitella,NHMSYS0000501242,1,1,1700,,,
Anerastia lotella,NHMSYS0021143689,1,1,1700,,,
Angerona prunaria,NBNSYS0000006015,1,1,1700,,,
Anorthoa munda,NHMSYS0021144798,1,1,1700,,,
Anthophila fabriciana,NHMSYS0000501258,1,1,1700,,,
Anticlea derivata,NHMSYS0021143944,1,1,1700,,,
Anticollix sparsata,NBNSYS0000005951,1,1,1700,,,
Antigastra catalaunalis,NHMSYS0000501267,1,1,1700,,,
Antispila metallella,NBNSYS0100001598,1,1,1700,,,
Antispila petryi,NHMSYS0000501270,1,1,1700,,,
Antispila treitschkiella sensu auctt.,NHMSYS0000501272,1,1,1700,,,
Antitype chi,NBNSYS0000006347,1,1,1700,,,
Apamea anceps,NHMSYS0021144667,1,1,1700,,,
Apamea crenata,NBNSYS0000006425,1,1,1700,,,
Apamea epomidion,NBNSYS0000006426,1,1,1700,,,
Apamea exulis,NHMSYS0021144677,1,1,1700,,,
Apamea furva,NHMSYS0000501109,1,1,1700,,,
Apamea furva britannica,NHMSYS0021144676,1,1,1700,,,
Apamea furva furva,NHMSYS0021144675,1,1,1700,,,
Apamea lateritia,NBNSYS0000006427,1,1,1887,,,
Apamea lithoxylaea,NHMSYS0021144674,1,1,1700,,,
Apamea monoglypha,NBNSYS0000006417,1,1,1700,,,
Apamea oblonga,NBNSYS0000006424,1,1,1700,,,
Apamea remissa,NHMSYS0021144661,1,1,1700,,,
Apamea scolopacina,NBNSYS0000006433,1,1,1700,,,
Apamea sordens,NBNSYS0000027060,1,1,1700,,,
Apamea sublustris,NBNSYS0000006419,1,1,1700,,,
Apamea unanimis,NHMSYS0021144672,1,1,1700,,,
Apeira syringaria,NBNSYS0000006001,1,1,1700,,,
Aphelia paleana,NHMSYS0000501122,1,1,1700,,,
Aphelia unitana,NHMSYS0021143023,1,1,1700,,,
Aphelia viburnana,NHMSYS0021143025,1,1,1700,,,
Aphomia sociella,NHMSYS0000501126,1,1,1700,,,
Aphomia zelleri,NHMSYS0000501127,1,1,1700,,,
Aplasta ononaria,NBNSYS0000005737,1,1,1937,,,
Aplocera efformata,NHMSYS0021144141,1,1,1700,,,
Aplocera plagiata,NBNSYS0000005958,1,1,1700,,,
Aplocera plagiata plagiata,NHMSYS0021144139,1,1,1700,,,
Aplocera plagiata scotica,NHMSYS0021144140,1,1,1700,,,
Aplocera praeformata,NHMSYS0021144142,1,1,1700,,,
Aplota palpellus,NHMSYS0021142562,1,1,1700,,,
Apocheima hispidaria,NHMSYS0021144212,1,1,1700,,,
Apoda limacodes,NBNSYS0000005683,1,1,1700,,,
Apodia bifractella,NHMSYS0021142697,1,1,1700,,,
Apomyelois bistriatella,NHMSYS0000517188,1,1,1700,,,
Apomyelois ceratoniae,NBNSYS0100001619,1,1,1700,,,
Aporophyla australis,NHMSYS0000517198,1,1,1700,,,
Aporophyla australis australis,NHMSYS0021144767,1,1,1700,,,
Aporophyla australis pascuea,NHMSYS0021144768,1,1,1700,,,
Aporophyla lueneburgensis,NBNSYS0000005281,1,1,1700,,,
Aporophyla lutulenta,NHMSYS0021144770,1,1,1700,,,
Aporophyla nigra,NBNSYS0000006325,1,1,1700,,,
Apotomis betuletana,NHMSYS0000501152,1,1,1700,,,
Apotomis capreana,NHMSYS0021143160,1,1,1700,,,
Apotomis infida,NHMSYS0000501154,1,1,1919,,,
Apotomis lineana,NHMSYS0021143155,1,1,1700,,,
Apotomis sauciana,NHMSYS0000517208,1,1,1700,,,
Apotomis semifasciana,NHMSYS0000501158,1,1,1700,,,
Apotomis sororculana,NHMSYS0000501159,1,1,1700,,,
Apotomis turbidana,NHMSYS0021143157,1,1,1700,,,
Aproaerema anthyllidella,NHMSYS0021142621,1,1,1700,,,
Apterogenum ypsillon,NHMSYS0021144756,1,1,1700,,,
Archanara dissoluta,NBNSYS0000006476,1,1,1700,,,
Archanara neurica,NHMSYS0021144637,1,1,1700,,,
Archiearis parthenias,NBNSYS0000005734,1,1,1700,,,
Archinemapogon yildizae,NHMSYS0000501282,1,1,1700,,,
Archips betulana,NHMSYS0021143001,1,1,1700,31,12,1912
Archips crataegana,NHMSYS0021143005,1,1,1700,,,
Archips oporana,NHMSYS0000501287,1,1,1700,,,
Archips podana,NHMSYS0000501288,1,1,1700,,,
Archips rosana,NHMSYS0000501289,1,1,1700,,,
Archips xylosteana,NHMSYS0000501290,1,1,1700,,,
Arctia caja,NBNSYS0000006143,1,1,1700,,,
Arctia villica,NHMSYS0000517243,1,1,1700,,,
Arctia villica britannica,NHMSYS0021144398,1,1,1700,,,
Arctia villica villica,NHMSYS0021144397,1,1,1700,,,
Arctornis l-nigrum,NHMSYS0000501296,1,1,1800,,,
Arenostola phragmitidis,NHMSYS0021144632,1,1,1700,,,
Argolamprotes micella,NHMSYS0021142702,1,1,1700,,,
Argyresthia abdominalis,NHMSYS0000501358,1,1,1700,,,
Argyresthia albistria,NHMSYS0000501359,1,1,1700,,,
Argyresthia arceuthina,NHMSYS0000501360,1,1,1700,,,
Argyresthia aurulentella,NHMSYS0000501362,1,1,1700,,,
Argyresthia bonnetella,NBNSYS0100001640,1,1,1700,,,
Argyresthia brockeella,NHMSYS0021142503,1,1,1700,,,
Argyresthia conjugella,NHMSYS0000501364,1,1,1700,,,
Argyresthia cupressella,NBNSYS0100001643,1,1,1700,,,
Argyresthia curvella,NHMSYS0000501370,1,1,1700,,,
Argyresthia dilectella,NHMSYS0000501371,1,1,1700,,,
Argyresthia glabratella,NHMSYS0000501373,1,1,1700,,,
Argyresthia glaucinella,NHMSYS0000501374,1,1,1700,,,
Argyresthia goedartella,NHMSYS0000501375,1,1,1700,,,
Argyresthia ivella,NHMSYS0000501378,1,1,1700,,,
Argyresthia laevigatella,NHMSYS0021142497,1,1,1700,,,
Argyresthia praecocella,NHMSYS0000501382,1,1,1700,,,
Argyresthia pruniella,NHMSYS0000501383,1,1,1700,,,
Argyresthia pygmaeella,NHMSYS0021142505,1,1,1700,,,
Argyresthia retinella,NHMSYS0000501385,1,1,1700,,,
Argyresthia semifusca,NHMSYS0000501387,1,1,1700,,,
Argyresthia semitestacella,NHMSYS0000501388,1,1,1700,,,
Argyresthia sorbiella,NHMSYS0000501389,1,1,1700,,,
Argyresthia spinosella,NBNSYS0100001647,1,1,1700,,,
Argyresthia trifasciata,NHMSYS0000501391,1,1,1700,,,
Argyroploce arbutella,NHMSYS0021143188,1,1,1700,,,
Argyrotaenia ljungiana,NHMSYS0000501394,1,1,1700,,,
Aristotelia brizella,NHMSYS0000501399,1,1,1700,,,
Aristotelia ericinella,NHMSYS0000501400,1,1,1700,,,
Aristotelia subdecurtella,NHMSYS0021142690,1,1,1700,31,12,1931
Aroga velocella,NHMSYS0000501403,1,1,1700,,,
Aspilapteryx tringipennella,NHMSYS0000501407,1,1,1700,,,
Aspitates gilvaria,NHMSYS0000517298,1,1,1700,,,
Aspitates gilvaria burrenensis,NHMSYS0021144302,1,1,1700,,,
Aspitates gilvaria gilvaria,NHMSYS0021144301,1,1,1700,,,
Aspitates ochrearia,NBNSYS0000006060,1,1,1700,,,
Assara terebrella,NHMSYS0000501411,1,1,1700,,,
Asteroscopus sphinx,NHMSYS0000501413,1,1,1700,,,
Asthena albulata,NBNSYS0000005966,1,1,1700,,,
Atemelia torquatella,NHMSYS0000501418,1,1,1700,,,
Atethmia centrago,NBNSYS0000006364,1,1,1700,,,
Athetis hospes,NHMSYS0021144590,26,8,1978,,,
Athetis pallustris,NHMSYS0021144588,1,1,1700,,,
Athrips mouffetella,NHMSYS0000501423,1,1,1700,,,
Athrips rancidella,NHMSYS0000501424,1,1,1700,,,
Athrips tetrapunctella,NHMSYS0000501425,1,1,1700,31,12,1949
Atolmis rubricollis,NBNSYS0000006125,1,1,1700,,,
Augasma aeratella,NHMSYS0000501428,1,1,1700,,,
Autographa bractea,NHMSYS0021144477,1,1,1700,,,
Autographa gamma,NBNSYS0000006546,1,1,1700,,,
Autographa jota,NBNSYS0000006548,1,1,1700,,,
Autographa pulchrina,NBNSYS0000006547,1,1,1700,,,
Axylia putris,NBNSYS0000006184,1,1,1700,,,
Bacotia claustrella,NHMSYS0021139196,1,1,1700,,,
Bactra furfurana,NHMSYS0000501438,1,1,1700,,,
Bactra lacteana,NHMSYS0000501439,1,1,1700,,,
Bactra lancealana,NHMSYS0021143218,1,1,1700,,,
Bactra robustana,NHMSYS0000501441,1,1,1700,,,
Bactra venosana,NHMSYS0021143221,22,9,2006,,,
Bankesia conspurcatella,NHMSYS0020705508,1,1,1700,,,
Barea asbolaea,NHMSYS0021142563,1,1,2004,,,
Batia internella,NBNSYS0100001914,1,1,1700,,,
Batia lambdella,NHMSYS0000501452,1,1,1700,,,
Batia lunaris,NHMSYS0000501453,1,1,1700,,,
Batrachedra pinicolella,NHMSYS0000501456,1,1,1700,,,
Batrachedra praeangusta,NHMSYS0000501457,1,1,1700,,,
Bedellia somnulentella,NHMSYS0000501461,1,1,1700,,,
Bembecia ichneumoniformis,NBNSYS0100001926,1,1,1700,,,
Bena bicolorana,NHMSYS0000501469,1,1,1700,,,
Bisigna procerella,NHMSYS0021142533,1,1,1700,,,
Biston betularia,NBNSYS0000006022,1,1,1700,,,
Biston strataria,NBNSYS0000006021,1,1,1700,,,
Blastobasis adustella,NHMSYS0020326904,1,1,1700,,,
Blastobasis lacticolella,NHMSYS0020676097,1,1,1700,,,
Blastobasis maroccanella,NHMSYS0021158224,25,7,2013,,,
Blastobasis phycidella,NHMSYS0000501496,1,1,1990,,,
Blastobasis rebeli,NHMSYS0021142871,1,1,1700,,,
Blastobasis vittata,NHMSYS0021142870,1,1,1700,,,
Blastodacna atra,NHMSYS0000501498,1,1,1700,,,
Blastodacna hellerella,NHMSYS0000501499,1,1,1700,,,
Bohemannia auriciliella,NHMSYS0000501508,1,1,1700,,,
Bohemannia pulverosella,NBNSYS0100002018,1,1,1700,,,
Bohemannia quadrimaculella,NHMSYS0021142140,1,1,1700,,,
Borkhausenia fuscescens,NHMSYS0000501518,1,1,1700,,,
Borkhausenia minutella,NHMSYS0000501519,1,1,1700,,,
Boudinotiana notha,NHMSYS0021144157,1,1,1700,,,
Brachionycha nubeculosa,NBNSYS0000006321,1,1,1700,,,
Brachmia blandella,NHMSYS0000501522,1,1,1700,,,
Brachmia inornatella,NHMSYS0000501524,1,1,1700,,,
Brachylomia viminalis,NHMSYS0021144752,1,1,1700,,,
Bryophila domestica,NHMSYS0021126913,1,1,1700,,,
Bryophila raptricula,NHMSYS0021144554,12,8,1953,,,
Bryotropha affinis,NHMSYS0000501546,1,1,1700,,,
Bryotropha basaltinella,NHMSYS0000501547,1,1,1700,,,
Bryotropha boreella,NHMSYS0000501548,1,1,1700,,,
Bryotropha desertella,NHMSYS0000501549,1,1,1700,,,
Bryotropha domestica,NHMSYS0000501550,1,1,1700,,,
Bryotropha dryadella,NHMSYS0000501551,1,1,1700,,,
Bryotropha galbanella,NHMSYS0000501553,1,1,1700,,,
Bryotropha politella,NHMSYS0000501555,1,1,1700,,,
Bryotropha senectella,NHMSYS0000501557,1,1,1700,,,
Bryotropha similis,NHMSYS0000501558,1,1,1700,,,
Bryotropha terrella,NHMSYS0021142667,1,1,1700,,,
Bryotropha umbrosella,NHMSYS0000501560,1,1,1700,,,
Bucculatrix albedinella,NHMSYS0021142408,1,1,1700,,,
Bucculatrix bechsteinella,NBNSYS0100002131,1,1,1700,,,
Bucculatrix chrysanthemella,NHMSYS0021142406,19,6,2009,,,
Bucculatrix cidarella,NHMSYS0021142409,1,1,1700,,,
Bucculatrix cristatella,NHMSYS0021142403,1,1,1700,,,
Bucculatrix demaryella,NHMSYS0000501570,1,1,1700,,,
Bucculatrix frangutella,NBNSYS0100002133,1,1,1700,,,
Bucculatrix humiliella,MM0001Z1003R8501,1,1,1700,,,
Bucculatrix maritima,NHMSYS0000501573,1,1,1700,,,
Bucculatrix nigricomella,NHMSYS0021142404,1,1,1700,,,
Bucculatrix thoracella,NHMSYS0000501576,1,1,1700,,,
Bucculatrix ulmella,NHMSYS0000501577,1,1,1700,,,
Bucculatrix ulmifoliae,NHMSYS0021142413,1,1,1700,,,
Buckleria paludum,NBNSYS0000027027,1,1,1700,,,
Bupalus piniaria,NBNSYS0000006046,1,1,1700,,,
Cabera exanthemata,NBNSYS0000006048,1,1,1700,,,
Cabera pusaria,NBNSYS0000006047,1,1,1700,,,
Cacoecimorpha pronubana,NHMSYS0021143019,1,1,1700,,,
