taxon,tvk,start_day,start_month,start_year,end_day,end_month,end_year
Muellerianella fairmairei,NHMSYS0020705753,1,1,1950,,,
Muirodelphax aubei,NHMSYS0020705755,1,1,1950,,,
Neophilaenus campestris,NHMSYS0020705765,1,1,1950,,,
Neophilaenus exclamationis,NHMSYS0020705766,1,1,1950,,,
Neophilaenus lineatus,NHMSYS0020705767,1,1,1950,,,
Neophilaenus longiceps,NHMSYS0020442440,1,1,1950,,,
Nothodelphax distinctus,NHMSYS0020705962,1,1,1950,,,
Notus flavipennis,NHMSYS0020705769,1,1,1950,,,
Oncodelphax pullulus,NHMSYS0020442443,1,1,1950,,,
Oncopsis alni,NHMSYS0020705775,1,1,1950,,,
Oncopsis avellanae,NHMSYS0020705776,1,1,1950,,,
Oncopsis carpini,NHMSYS0020705777,1,1,1950,,,
Oncopsis flavicollis,NHMSYS0020705778,1,1,1950,,,
Oncopsis subangulata,NHMSYS0020705779,1,1,1950,,,
Oncopsis tristis,NHMSYS0020705780,1,1,1950,,,
Ophiola cornicula,NHMSYS0020705890,1,1,1950,,,
Ophiola decumana,NHMSYS0020705891,1,1,1950,,,
Ophiola plutonia,NHMSYS0020927625,1,1,1950,,,
Opsius stactogalus,NHMSYS0020705782,1,1,1950,,,
Ossiannilssonola callosa,NBNSYS0100004363,1,1,1950,,,
Paluda flaveola,NHMSYS0020705790,1,1,1950,,,
Paradelphacodes paludosus,NHMSYS0020442446,1,1,1950,,,
Paraliburnia adela,NHMSYS0020705794,1,1,1950,,,
Paraliburnia clypealis,NHMSYS0020705795,1,1,1950,,,
Paralimnus phragmitis,NHMSYS0020442448,1,1,1950,,,
Paramesus obtusifrons,NHMSYS0020705798,1,1,1950,,,
Pediopsis tiliae,NHMSYS0020442449,1,1,1950,,,
Pentastiridius (Pentastiridius) leporinus,NHMSYS0020705771,1,1,1950,,,
Philaenus spumarius,NHMSYS0020705811,1,1,1950,,,
Placotettix taeniatifrons,NHMSYS0020705816,1,1,1950,,,
Planaphrodes bifasciata,NHMSYS0020705215,1,1,1950,,,
Platymetopius (Platymetopius) undatus,NHMSYS0020705820,1,1,1950,,,
Populicerus albicans,NHMSYS0020705631,1,1,1950,,,
Populicerus confusus,NHMSYS0020705632,1,1,1950,,,
Populicerus laminatus,NHMSYS0020705637,1,1,1950,,,
Populicerus nitidissimus,NHMSYS0020705635,1,1,1950,,,
Populicerus populi,NHMSYS0020705641,1,1,1950,,,
Prokelisia marginata,NHMSYS0020530792,1,1,2008,,,
Psammotettix albomarginatus,NHMSYS0020442454,1,1,1950,,,
Psammotettix cephalotes,NHMSYS0020705826,1,1,1950,,,
Psammotettix confinis,NHMSYS0020705827,1,1,1950,,,
Psammotettix frigidus,NHMSYS0020705828,1,1,1950,,,
Psammotettix helvolus,NHMSYS0020745853,1,1,1950,,,
Psammotettix maritimus,NHMSYS0020442456,1,1,1950,,,
Psammotettix nodosus,NHMSYS0020442457,1,1,1950,,,
Psammotettix putoni sensu stricto,NHMSYS0020924663,1,1,1950,,,
Psammotettix sabulicola,NHMSYS0020705830,1,1,1950,,,
Psammotettix striatus sensu stricto,NHMSYS0020924719,1,1,1950,,,
Recilia coronifera,NHMSYS0020705867,1,1,1950,,,
Reptalus (Reptalus) panzeri,NHMSYS0020705772,1,1,1950,,,
Rhopalopyx adumbrata,NHMSYS0020705789,1,1,1950,,,
Rhopalopyx vitripennis,NHMSYS0020705791,1,1,1950,,,
Rhytidodus decimusquartus,NHMSYS0020705874,1,1,1950,,,
Rhytistylus proceps,NHMSYS0020705876,1,1,1950,,,
Ribautiana cruciata,NHMSYS0020705878,1,1,1950,,,
Ribautiana debilis,NHMSYS0020705879,1,1,1950,,,
Ribautiana scalaris,NHMSYS0020705880,1,1,1950,,,
Ribautiana tenerrima sensu stricto,NHMSYS0020924687,1,1,1950,,,
Ribautiana ulmi,NHMSYS0020705882,1,1,1950,,,
Ribautodelphax angulosus,NHMSYS0020442459,1,1,1950,,,
Ribautodelphax imitans,NBNSYS0000010768,1,1,1950,,,
Ribautodelphax pallens,NHMSYS0020442460,1,1,1950,,,
Ribautodelphax pungens,NHMSYS0020442461,1,1,1950,,,
Sagatus punctifrons,NHMSYS0020705885,1,1,1950,,,
Sardius argus,NHMSYS0020705887,1,1,1950,,,
Sonronius dahlbomi,NHMSYS0020705894,1,1,1950,,,
Sorhoanus xanthoneurus,NHMSYS0020705896,1,1,1950,,,
Speudotettix subfusculus,NHMSYS0020705901,1,1,1950,,,
Stenidiocerus poecilus,NHMSYS0020705640,1,1,1950,,,
Stenocranus fuscovittatus,NHMSYS0020442466,1,1,1950,,,
Stenocranus longipennis,NHMSYS0020705904,1,1,1950,,,
Stenocranus major,NHMSYS0020705905,1,1,1950,,,
Stenocranus minutus,NHMSYS0020705906,1,1,1950,,,
Stiroma affinis,NHMSYS0020705910,1,1,1950,,,
Stiroma bicarinata,NHMSYS0020442467,1,1,1950,,,
Streptanus aemulans,NHMSYS0020705912,1,1,1950,,,
Streptanus marginatus,NHMSYS0020705913,1,1,1950,,,
Streptanus sordidus,NHMSYS0020705914,1,1,1950,,,
Stroggylocephalus agrestis,NHMSYS0020705916,1,1,1950,,,
Stroggylocephalus livens,NHMSYS0020705917,1,1,1950,,,
Struebingianella dalei,NHMSYS0020442469,1,1,1950,,,
Struebingianella litoralis,NHMSYS0020442470,1,1,1950,,,
Struebingianella lugubrina,NHMSYS0020705924,1,1,1950,,,
Synophropsis lauri,NHMSYS0020745854,1,1,2000,,,
Tachycixius pilosus,NHMSYS0020705926,1,1,1950,,,
Tettigometra (Tettigometra) impressopunctata,NHMSYS0020705930,1,1,1950,,,
Thamnotettix (Loepotettix) dilutior,NHMSYS0020705933,1,1,1950,,,
Thamnotettix (Thamnotettix) confinis,NHMSYS0020705932,1,1,1950,,,
Tremulicerus distinguendus,NHMSYS0020705633,1,1,1950,,,
Tremulicerus tremulae,NHMSYS0020705645,1,1,1950,,,
Tremulicerus vitreus,NHMSYS0020705646,1,1,1950,,,
Trigonocranus emmeae,NHMSYS0020442473,1,1,1950,,,
Turrutus socialis,NHMSYS0020705957,1,1,1950,,,
Typhlocyba quercus,NHMSYS0020705960,1,1,1950,,,
Ulopa reticulata,NHMSYS0020705964,1,1,1950,,,
Utecha trivia,NHMSYS0020705965,1,1,1950,,,
Verdanus (Verdanus) abdominalis,NHMSYS0020705334,1,1,1950,,,
Wagneripteryx germari,NHMSYS0020705181,1,1,1950,,,
Xanthodelphax flaveolus,NHMSYS0020442475,1,1,1950,,,
Xanthodelphax stramineus,NHMSYS0020705968,1,1,1950,,,
Zonocyba bifasciata,NHMSYS0020705959,1,1,1950,,,
Zygina (Hypericiella) hyperici,NHMSYS0020705973,1,1,1950,,,
Zygina angusta,NHMSYS0020705971,1,1,1950,,,
Zygina flammigera,NHMSYS0020705972,1,1,1950,,,
Zygina ordinaria,NHMSYS0020705974,1,1,1950,,,
Zygina rubrovittata,NHMSYS0020442476,1,1,1950,,,
Zygina schneideri,NHMSYS0020705975,1,1,1950,,,
Zygina suavis,NHMSYS0020705976,1,1,1950,,,
Zygina tiliae,NHMSYS0020705977,1,1,1950,,,
Zyginella pulchra,NHMSYS0020745858,1,1,2000,,,
Zyginidia scutellaris,NHMSYS0020705979,1,1,1950,,,
