taxon,tvk,start_day,start_month,end_day,end_month,stage
Heterotoma planicornis,NHMSYS0020309310,1,7,31,10,mature
Himacerus (Anaptus) major,NHMSYS0020309313,1,3,30,11,mature
Himacerus (Himacerus) apterus,NHMSYS0020309317,1,7,31,10,mature
Himacerus (Stalia) boops,NHMSYS0020309319,1,6,30,9,mature
Hoplomachus thunbergii,NHMSYS0020309324,1,6,31,7,mature
Hypseloecus visci,NHMSYS0020309331,1,6,31,8,mature
Leptopterna dolabrata,NHMSYS0020309360,1,4,30,9,mature
Leptopterna ferrugata,NHMSYS0020309361,1,6,30,9,mature
Lopus decolor,NHMSYS0020309369,1,6,31,8,mature
Loricula elegantula,NHMSYS0020309371,1,6,31,10,mature
Loricula pselaphiformis,NHMSYS0020109263,1,6,31,10,mature
Lygocoris (Apolygus) lucorum,NHMSYS0020309384,1,7,31,10,mature
Lygocoris (Apolygus) spinolae,NHMSYS0020309385,1,6,30,9,mature
Lygocoris (Lygocoris) pabulinus,NHMSYS0020309387,1,6,31,10,mature
Lygocoris (Lygocoris) rugicollis,NHMSYS0020309388,1,6,30,9,mature
Lygocoris (Neolygus) contaminatus,NHMSYS0020309390,1,4,31,10,mature
Lygocoris (Neolygus) populi,NHMSYS0020309391,1,6,30,9,mature
Lygocoris (Neolygus) viridis,NHMSYS0020309392,1,6,30,9,mature
Macrolophus pygmaeus,NHMSYS0020309403,1,5,31,8,mature
Macrolophus rubi,NHMSYS0020309404,1,7,31,8,mature
Macrotylus (Alloeonycha) horvathi,NHMSYS0020309411,1,7,30,9,mature
Macrotylus (Alloeonycha) paykulli,NHMSYS0020309412,1,5,30,9,mature
Macrotylus (Alloeonycha) solitarius,NHMSYS0020309413,1,5,30,9,mature
Malacocoris chlorizans,NHMSYS0020309415,1,6,31,10,mature
Mecomma (Globicellus) dispar,NHMSYS0020309418,1,6,31,8,mature
Mecomma (Mecomma) ambulans,NHMSYS0020309420,1,6,30,9,mature
Megacoelum beckeri,NHMSYS0020309422,1,8,30,9,mature
Megacoelum infusum,NHMSYS0020309423,1,7,31,10,mature
Megaloceroea recticornis,NHMSYS0020309425,1,5,30,9,mature
Megalocoleus molliculus,NHMSYS0020309427,1,6,30,9,mature
Megalocoleus tanaceti,NHMSYS0020309428,1,6,30,9,mature
Megalonotus emarginatus,NHMSYS0020309434,1,6,31,10,mature
Miridius quadrivirgatus,NHMSYS0020309470,1,7,31,8,mature
Miris striatus,NHMSYS0020309474,1,5,31,8,mature
Monosynamma bohemanni,NHMSYS0020309480,1,6,30,9,mature
Monosynamma maritimum,NHMSYS0020309481,1,6,30,9,mature
Monosynamma sabulicola,NHMSYS0020309482,1,6,30,9,mature
Myrmecoris gracilis,NHMSYS0020309485,1,6,31,8,mature
Myrmedobia coleoptrata,NHMSYS0020309487,1,6,30,9,mature
Myrmedobia distinguenda,NHMSYS0020309488,1,6,30,9,mature
Myrmedobia exilis,NHMSYS0020309489,1,6,30,9,mature
Myrmedobia inconspicua,NHMSYS0020309490,1,6,30,9,mature
Nabis (Dolichonabis) limbatus,NHMSYS0020309497,1,6,31,10,mature
Nabis (Limnonabis) lineatus,NHMSYS0020309499,1,6,31,10,mature
Nabis (Nabicula) flavomarginatus,NHMSYS0020309501,1,5,31,10,mature
Notostira elongata,NHMSYS0020309530,1,6,31,8,mature
Odontoscelis (Odontoscelis) fuliginosa,NHMSYS0020309545,1,6,31,10,mature
Odontoscelis (Odontoscelis) lineola,NHMSYS0020309546,1,6,31,10,mature
Oncotylus (Oncotylus) viridiflavus,NHMSYS0020309555,1,6,30,9,mature
Orthocephalus coriaceus,NHMSYS0020309570,1,6,31,8,mature
Orthocephalus saltator,NHMSYS0020309571,1,7,30,9,mature
Orthonotus rufifrons,NHMSYS0020309575,1,5,30,9,mature
Orthotylus (Litocoris) ericetorum,NHMSYS0020309585,1,6,31,10,mature
Orthotylus (Melanotrichus) flavosparsus,NHMSYS0020309587,1,6,30,9,mature
Orthotylus (Melanotrichus) moncreaffi,NHMSYS0020309588,1,7,31,10,mature
Orthotylus (Melanotrichus) rubidus,NHMSYS0020309589,1,7,31,10,mature
Orthotylus (Orthotylus) flavinervis,NHMSYS0020309591,1,6,31,8,mature
Orthotylus (Orthotylus) marginalis,NHMSYS0020309592,1,6,31,8,mature
Orthotylus (Orthotylus) nassatus,NHMSYS0020309593,1,7,30,9,mature
Orthotylus (Orthotylus) ochrotrichus,NHMSYS0020309594,1,7,30,9,mature
Orthotylus (Orthotylus) prasinus,NHMSYS0020309595,1,7,30,9,mature
Orthotylus (Orthotylus) tenellus,NHMSYS0020309596,1,6,31,8,mature
Orthotylus (Orthotylus) virens,NHMSYS0020309597,1,7,30,9,mature
Orthotylus (Orthotylus) viridinervis,NHMSYS0020309598,1,7,31,8,mature
Orthotylus (Pachylops) adenocarpi,NHMSYS0020309600,1,6,30,9,mature
Orthotylus (Pachylops) concolor,NHMSYS0020309601,1,7,30,9,mature
Orthotylus (Pachylops) virescens,NHMSYS0020309602,1,7,30,9,mature
Orthotylus (Pinocapsus) fuscescens,NHMSYS0020309604,1,6,31,8,mature
Orthotylus (Pseudorthotylus) bilineatus,NHMSYS0020309606,1,7,30,9,mature
Pachytomella parallela,NHMSYS0020309612,1,7,31,8,mature
Pantilius (Pantilius) tunicatus,NHMSYS0020309616,1,8,31,10,mature
Parapsallus vitellinus,NHMSYS0020309622,1,6,31,8,mature
Phoenicocoris obscurellus,NHMSYS0020309636,1,6,31,8,mature
Phylus (Phylus) coryli,NHMSYS0020309641,1,5,31,8,mature
Phylus (Phylus) melanocephalus,NHMSYS0020309642,1,5,31,8,mature
Phytocoris (Ktenocoris) insignis,NHMSYS0020309649,1,8,30,9,mature
Phytocoris (Ktenocoris) ulmi,NHMSYS0020309650,1,6,31,10,mature
Phytocoris (Ktenocoris) varipes,NHMSYS0020309651,1,6,31,10,mature
Phytocoris (Phytocoris) dimidiatus,NHMSYS0020309653,1,6,30,11,mature
Phytocoris (Phytocoris) longipennis,NHMSYS0020309654,1,7,31,10,mature
Phytocoris (Phytocoris) pini,NHMSYS0020309655,1,7,31,10,mature
Phytocoris (Phytocoris) populi,NHMSYS0020309656,1,7,31,10,mature
Phytocoris (Phytocoris) reuteri,NHMSYS0020309657,1,7,30,9,mature
Phytocoris (Phytocoris) tiliae,NHMSYS0020309658,1,6,31,10,mature
Pilophorus cinnamopterus,NHMSYS0020309667,1,7,30,11,mature
Pilophorus clavatus,NHMSYS0020309668,1,7,30,9,mature
Pilophorus confusus,NHMSYS0020309669,1,7,31,8,mature
Pilophorus perplexus,NHMSYS0020309670,1,7,31,10,mature
Pinalitus rubricatus,NHMSYS0020309674,1,6,30,9,mature
Pinalitus viscicola,NHMSYS0020309675,1,7,30,9,mature
Pithanus maerkelii,NHMSYS0020309679,1,6,31,8,mature
Placochilus seladonicus,NHMSYS0020309681,1,7,30,9,mature
Plagiognathus (Plagiognathus) arbustorum,NHMSYS0020309684,1,6,30,9,mature
Plagiognathus (Plagiognathus) chrysanthemi,NHMSYS0020309685,1,6,30,9,mature
Platycranus (Genistocapsus) bicolor,NHMSYS0020309688,1,7,31,10,mature
Plesiodema pinetella,NHMSYS0020309694,1,6,31,8,mature
Polymerus (Poeciloscytus) palustris,NHMSYS0020309704,1,6,30,9,mature
Polymerus (Poeciloscytus) unifasciatus,NHMSYS0020309705,1,6,30,9,mature
Polymerus (Poeciloscytus) vulneratus,NHMSYS0020309707,1,8,30,9,mature
Polymerus (Polymerus) nigrita,NHMSYS0020309709,1,6,30,9,mature
Psallodema fieberi,NHMSYS0020309716,1,6,31,8,mature
Psallus (Apocremnus) betuleti,NHMSYS0020309719,1,5,31,7,mature
Psallus (Apocremnus) montanus,NHMSYS0020309720,1,6,31,7,mature
Psallus (Hylopsallus) assimilis,NHMSYS0020309722,1,6,31,7,mature
Psallus (Hylopsallus) perrisi,NHMSYS0020309723,1,6,31,8,mature
Psallus (Hylopsallus) variabilis,NHMSYS0020309725,1,6,31,7,mature
Psallus (Hylopsallus) wagneri,NHMSYS0020309726,1,6,31,7,mature
Psallus (Mesopsallus) ambiguus,NHMSYS0020309728,1,5,31,8,mature
Psallus (Phylidea) quercus,NHMSYS0020309730,1,6,31,8,mature
Psallus (Pityopsallus) luridus,NHMSYS0020309732,1,6,31,8,mature
Psallus (Psallus) albicinctus,NHMSYS0020309734,1,6,31,7,mature
Psallus (Psallus) confusus,NHMSYS0020309735,1,5,31,8,mature
Psallus (Psallus) falleni,NHMSYS0020309736,1,7,30,9,mature
Psallus (Psallus) flavellus,NHMSYS0020309737,1,6,31,8,mature
Psallus (Psallus) haematodes,NHMSYS0020309738,1,7,30,9,mature
Psallus (Psallus) lepidus,NHMSYS0020309739,1,6,30,9,mature
Psallus (Psallus) mollis,NHMSYS0020309740,1,6,31,8,mature
Psallus (Psallus) salicis,NHMSYS0020309741,1,7,30,9,mature
Psallus (Psallus) varians,NHMSYS0020309742,1,6,30,9,mature
Pseudoloxops coccineus,NHMSYS0020309744,1,7,30,9,mature
Rhabdomiris striatellus,NHMSYS0020784510,1,5,31,8,mature
Salicarus (Salicarus) roseri,NHMSYS0020705907,1,6,31,8,mature
Stenotus binotatus,NHMSYS0020109271,1,6,31,8,mature
Stephanitis rhododendri,NHMSYS0020309856,1,6,31,10,mature
Sthenarus rotermundi,NHMSYS0020309858,1,6,31,8,mature
Strongylocoris leucocephalus,NHMSYS0020309864,1,6,31,8,mature
Strongylocoris luridus,NHMSYS0020309865,1,6,31,8,mature
Stygnocoris rusticus,NHMSYS0020309869,1,7,30,11,mature
Stygnocoris sabulosus,NHMSYS0020309870,1,7,30,11,mature
Systellonotus triguttatus,NHMSYS0020309874,1,5,31,8,mature
Teratocoris antennatus,NHMSYS0020309886,1,7,31,10,mature
Teratocoris caricis,NHMSYS0020309887,1,7,31,8,mature
Teratocoris saundersi,NHMSYS0020309888,1,7,31,10,mature
Teratocoris viridis,NHMSYS0020309889,1,6,31,8,mature
Tinicephalus (Tinicephalus) hortulanus,NHMSYS0020309907,1,6,31,8,mature
Trigonotylus caelestialium,NHMSYS0020309915,1,6,30,9,mature
Trigonotylus psammaecolor,NHMSYS0020309916,1,6,31,8,mature
Trigonotylus ruficornis,NHMSYS0020309917,1,6,30,9,mature
Tupiocoris rhododendri,NHMSYS0020309925,1,6,30,9,mature
Tuponia (Tuponia) mixticolor,NHMSYS0020309930,1,7,30,9,mature
Tytthus pubescens,NHMSYS0020309932,1,8,30,9,mature
Tytthus pygmaeus,NHMSYS0020309933,1,6,30,9,mature
Zygimus nigriceps,NHMSYS0020309952,1,6,30,9,mature
